full_name,ORCID,google_scholar,bbp-member
"Ludger Johannes",0000-0002-2168-0004,8QZVKTEAAAAJ,false
"Niklaus Johner",-,-,false
"Katherine Gianan Johnston",-,-,true
"Renaud Jolivet",0000-0002-5167-0851,9Ozwv7EAAAAJ,false
"Edward G. Jones",-,-,false
"Adrien Journe",-,-,false
"Meizhi Ju",-,UzFB-d8AAAAJ,false
"Toni R. Jue",-,G_PxupsAAAAJ,false
"Guy Antoine Atenekeng Kahou",-,-,false
"Jacques Kaiser",-,-,false
"Szabolcs Káli",-,8gykEqQAAAAJ,false
"Mira Marcus-Kalish",-,1r1OcSAAAAAJ,false
"Benjamin Kalloch",-,-,false
"Brian Kalmbach",-,QL_C4hkAAAAJ,false
"P. Kaltstein",-,-,false
"Lida Kanari",0000-0002-9539-5070,tFiySncAAAAJ,true
"Eric R. Kandel",-,-,false
"Christina Kapatsori",-,-,false
"Kalpana Kare",-,-,false
"Jonas Karlsson",-,-,true
"Mahesh M Karnani",-,OS9t6g4AAAAJ,false
"Fuyuki Karube",-,-,false
"Rob Kass",-,zZz9HIwAAAAJ,false
"Bobby Kasthuri",-,yrazx4AAAAJ,false
"Claudia Kathe",-,I_8VhKgAAAAJ,false
"Yury Katkov",-,-,true
"Anna-Kristin Kaufmann",-,f7AJchcAAAAJ,true
"Yasuo Kawaguchi",0000-0002-7483-8362,KuO7ZP4AAAAJ,false
"Kinga Kazala",-,-,false
"Liam Keegan",-,gNxnFsAAAAAJ,true
"Scott T Keene",-,pZhsx58AAAAJ,false
"Daniel Keller",0000-0003-3280-6255,-,true
"John Kenyon",-,z860bHQAAAAJ,true
"Samuel Kerrien",-,Pt7Kz6cAAAAJ,true
"Ingrid Keseler",-,-,false
"Maya Ketzef",0000-0003-3177-0430,GkZAA-8AAAAJ,false
"Georges Khazen",-,KUeLGQMAAAAJ,true
"Gregory Kiar",-,ztw6g7kAAAAJ,false
"Ilkan Fabrice Kiliç",-,-,true
"Jinhyun Kim",-,-,false
"Yihwa Kim",-,-,true
"Youngeun Kim",-,-,false
"James Gonzalo King",0000-0003-0906-8389,-,true
"Murat Kirtay",-,Pvkf_ksAAAAJ,false
"Zoltán F. Kisvárday",-,jxSJPdAAAAAJ,false
"A. Klimentov",-,Qjq2Ya0AAAAJ,false
"G. Klinker",-,NJreCkoAAAAJ,false
"James C. Knight",-,-,false
"Alois C. Knoll",0000-0003-4840-076X,CA8QgwAAAAJ,false
"Thomas R. Knösche",-,VH2U9XEAAAAJ,false
"Graham W Knott",-,-,false
"Christof Koch",0000-0001-6482-8067,-,false
"Olexiy Kochubey",0000-0002-8115-7733,-,false
"Konrad Kording",-,MiFqJGcAAAAJ,false
"Christos Kotsalos",-,FrOwAVIAAAAJ,true
"Sandhya Koushika",-,c4zDSQ8AAAAJ,false
"J. Kozloski",-,-,false
"Alexander K. Kozlov",-,-,false
"Sebastian Krach",-,-,false
"John Krakauer",-,hcZrVwYAAAAJ,false
"Andrei Kramer",-,-,false
"Ivo Krejci",-,-,false
"Jan Krepl",-,-,true
"Birgit Kriener",-,-,false
"Yoshiyuki Kubota",0000-0002-0950-7460,ICZ2rVIAAAAJ,false
"Arvind Kumar",-,-,false
"Sameer Kumar",-,-,false
"Pramod S. Kumbhar",0000-0002-1756-801X,-,true
"Prantik Kundu",-,kSXl63oAAAAJ,false
"Rüdiger Kupper",-,LgWPSecAAAAJ,false
"Ihor Kuras",-,-,true
"Kerem Kurban",-,Sq8ag8MAAAAJ,true
"Niels Kuster",-,O5_DVpYAAAAJ,false
"Thibaud L'Yvonnet",-,-,true
"Clément Lagisquet",-,-,false
"Angela R. Laird",-,-,false
"Jules Lallouette",-,rAov98cAAAAJ,false
"Bertrand Lambolez",-,XVcZSVsAAAAJ,false
"Jacob A. LaNasa",-,-,false
"Story Landis",-,-,false
"Zachary C. Landry",-,lvutsTUAAAAJ,false
"Sigrun Lange",0000-0002-7193-3102,lMdQqaAAAAAJ,false
"Kai Langen",-,-,false
"Frederic Lanore",0000-0003-4316-6855,zelvcGkAAAAJ,false
"Mario Lanza",-,UMtFllgAAAAJ,false
"Samuel Lapere",-,-,true
"Steeve Laquitaine",-,ftTg_S4AAAAJ,true
"Pedro Larrañaga",0000-0003-0652-9872,iTlD56SV03AC,false
"Stephen D. Larson",-,FijBSP8AAAAJ,false
"C. Laschi",-,1vR7lMUAAAAJ,false
"Hilal A. Lashuel",-,-,false
"Sébastien Lasserre",-,-,true
"Stanley J. F. Laulederkind",-,u8jZquEAAAAJ,false
"Ian Lavriushev",-,-,true
"Jeff Layton",-,ggmSpcIAAAAJ,false
"Jānis Lazovskis",-,2WYCcHgAAAAJ,false
"Jean-Vincent Le Bé",-,-,false
"Manuel Le Gallo",-,-,false
"Brian Lee",-,-,false
"Soo Yeun Lee",-,-,false
